                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.5145,                 1.3548,                 2.1034,                0.89772,                0.91228,                 0.9575,                0.59028,                 1.3997,                 1.0335,                 1.8632,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.5043,                 1.3341,                 2.0781,                0.92474,                0.88596,                0.96615,                0.64033,                 1.2684,                0.94846,                 1.8217,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.5071,                 1.3426,                 2.0983,                0.92126,                0.92371,                 0.9721,                0.65022,                 1.2643,                0.92391,                 1.8299,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.4545,                 1.3305,                 2.0187,                0.89016,                0.92982,                0.97066,                0.63815,                 1.3281,                0.97157,                 1.8309,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.4838,                 1.3298,                 2.0067,                0.92995,                0.90351,                0.96875,                0.56922,                  1.524,                 1.0186,                 1.9247,               0.000614,               0.000614,               0.000614
                    108,                  1.466,                 1.2915,                 2.0134,                0.95543,                0.94032,                 0.9814,                0.67188,                 1.1848,                0.89721,                 1.7387,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.4571,                 1.2836,                 2.0245,                0.97085,                 0.9386,                0.98246,                0.68399,                 1.1208,                0.87901,                 1.7099,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.5198,                 1.3415,                 2.0688,                0.94546,                0.91245,                0.97647,                0.64312,                 1.2241,                0.92119,                 1.7674,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.4984,                 1.3511,                 2.0563,                0.92131,                 0.9243,                0.97417,                0.65811,                 1.1802,                0.90832,                 1.7144,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.4899,                 1.3043,                 2.0345,                0.92643,                0.92105,                0.97481,                0.68567,                  1.118,                0.90101,                 1.7205,               0.000548,               0.000548,               0.000548
                    113,                 1.4269,                 1.2802,                 2.0217,                0.95788,                0.88596,                0.97108,                0.66313,                 1.1774,                0.96433,                 1.7947,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.4056,                 1.2782,                 1.9351,                0.88247,                0.90351,                0.96597,                0.66678,                 1.2141,                   1.02,                 1.8039,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.4576,                 1.3083,                 2.0333,                0.96362,                0.87719,                0.97613,                 0.6704,                 1.2471,                0.95041,                 1.7541,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.5432,                 1.3041,                 2.1033,                0.92937,                0.92343,                0.97997,                0.70782,                 1.1035,                 0.8616,                 1.6628,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.4085,                 1.2286,                 1.9757,                0.96347,                 0.9386,                0.98325,                0.71037,                 1.0698,                0.86072,                 1.6813,               0.000482,               0.000482,               0.000482
                    118,                 1.3449,                 1.1946,                 1.9634,                0.93935,                0.92982,                0.97729,                 0.6603,                  1.202,                0.93508,                 1.8274,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.4356,                 1.2343,                 1.9638,                0.93789,                0.92728,                0.97842,                0.67742,                 1.1591,                0.94684,                 1.7506,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.2796,                 1.2032,                 1.9031,                0.95599,                0.89474,                0.97817,                 0.6955,                  1.098,                0.88591,                  1.683,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.3197,                 1.1171,                 1.8908,                0.96876,                0.91228,                0.98316,                0.70484,                 1.0761,                0.86427,                 1.6592,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.4212,                  1.273,                 2.0154,                0.97175,                0.92105,                0.98356,                0.71576,                 1.0422,                0.82918,                  1.652,               0.000416,               0.000416,               0.000416
                    123,                 1.3791,                 1.2597,                 1.9638,                0.93436,                0.91228,                 0.9767,                0.67372,                 1.1297,                0.88788,                 1.7346,              0.0004028,              0.0004028,              0.0004028
                    124,                  1.378,                 1.1961,                 1.9423,                0.92733,                0.89545,                0.97494,                0.70635,                 1.0773,                0.85339,                 1.6667,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.4014,                 1.1847,                 1.9734,                0.92848,                0.91104,                0.97263,                0.71558,                 1.0426,                0.82971,                  1.623,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.3958,                 1.2107,                 1.9537,                0.97245,                0.92874,                0.98369,                0.72702,                 1.0415,                0.79871,                 1.5983,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.3981,                 1.2805,                 1.9704,                0.94362,                0.95614,                 0.9876,                0.73621,                0.99526,                0.76322,                 1.5535,                0.00035,                0.00035,                0.00035
                    128,                 1.3339,                 1.1542,                 1.9374,                0.97296,                  0.947,                0.98769,                0.75803,                0.96127,                0.75161,                 1.5489,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.3331,                 1.1563,                 1.9055,                0.92252,                0.97368,                0.98518,                0.73853,                 0.9841,                0.77318,                 1.5714,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.3927,                 1.2718,                 1.9712,                0.97297,                0.94729,                0.98569,                0.72476,                 1.0536,                0.80223,                  1.608,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.3749,                 1.2382,                 1.9748,                0.95415,                0.97368,                0.98455,                0.71694,                 1.0959,                0.83401,                 1.6119,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.3001,                  1.166,                 1.8614,                0.95131,                0.96491,                0.98575,                0.73712,                 1.0169,                0.80928,                  1.582,               0.000284,               0.000284,               0.000284
                    133,                 1.3664,                 1.2212,                  1.935,                0.95596,                0.96491,                0.98754,                0.73335,                 1.0009,                0.79365,                 1.5781,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.3972,                  1.234,                 1.9994,                0.93168,                0.95694,                  0.987,                0.70509,                 1.0938,                0.80849,                 1.6416,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.3572,                  1.195,                 1.8784,                0.96348,                0.92982,                0.98736,                0.70826,                 1.0796,                0.81441,                 1.6534,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.2481,                 1.1469,                 1.8201,                0.97523,                0.92982,                0.98789,                0.74343,                0.97447,                0.77294,                 1.5849,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.2986,                 1.1702,                 1.8767,                0.95568,                0.94584,                0.98933,                0.74833,                0.94985,                 0.7693,                 1.5682,               0.000218,               0.000218,               0.000218
                    138,                 1.2749,                 1.1222,                 1.8773,                0.95617,                 0.9568,                0.98929,                0.75234,                0.97236,                0.77409,                 1.5624,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.3028,                 1.1274,                 1.8386,                0.98117,                 0.9386,                0.99104,                0.75829,                0.96989,                0.76115,                 1.5453,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.3478,                 1.2017,                  1.898,                0.97063,                0.95614,                0.98986,                0.75766,                0.93317,                0.73815,                 1.5239,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.1375,                 1.1693,                  1.766,                0.97281,                 0.9414,                0.98938,                0.75829,                0.91798,                0.73041,                 1.5132,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.1336,                  1.189,                  1.781,                0.98197,                0.95534,                0.98946,                 0.7672,                 0.9071,                0.72959,                 1.4992,               0.000152,               0.000152,               0.000152
                    143,                  1.028,                  1.052,                 1.6585,                0.98657,                0.94737,                 0.9894,                0.76287,                0.94577,                0.74182,                 1.5124,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.0239,                0.95445,                 1.6465,                0.98432,                0.94737,                0.98904,                0.75233,                 0.9982,                0.75159,                 1.5335,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.0752,                0.96952,                 1.6901,                0.97281,                0.95614,                0.98977,                 0.7523,                0.99671,                0.74755,                 1.5333,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.0875,                0.92413,                 1.7129,                0.97775,                 0.9386,                0.98943,                0.76306,                0.97948,                0.73849,                 1.5204,               9.92e-05,               9.92e-05,               9.92e-05
